"Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Model","Variant","SSP","Year","period"
1099.36147583608,10.8077216184211,0,0,0,"IPSL-CM6A-LR","r8i1p1f1","ssp370","Hist(1992-2021)",2006
1111.18392772994,11.0139834469008,0,0,0,"IPSL-CM6A-LR","r9i1p1f1","ssp370","Hist(1992-2021)",2006
1023.4569421212,11.1484711530412,0,0,0,"KACE-1-0-G","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1026.76308526096,11.1289040813542,0,0,0,"KACE-1-0-G","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1037.99036875909,11.0529590852437,0,0,0,"KACE-1-0-G","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1102.05354827414,11.1281587335856,0,0,0,"KACE-1-0-G","r2i1p1f1","ssp245","Hist(1992-2021)",2006
1148.94896880176,11.0705078850047,0,0,0,"KACE-1-0-G","r2i1p1f1","ssp370","Hist(1992-2021)",2006
1141.19912845515,11.1026452848667,0,0,0,"KACE-1-0-G","r2i1p1f1","ssp585","Hist(1992-2021)",2006
1071.29772908953,11.2748392345753,0,0,0,"KACE-1-0-G","r3i1p1f1","ssp245","Hist(1992-2021)",2006
1002.6487913972,11.3270027096162,0,0,0,"KACE-1-0-G","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1057.13153666979,11.3041409054717,0,0,0,"KACE-1-0-G","r3i1p1f1","ssp585","Hist(1992-2021)",2006
1062.91639392123,10.8032530597558,0,0,0,"MIROC6","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1054.66544790972,10.8011802526052,0,0,0,"MIROC6","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1025.02485068146,10.8792009365877,0,0,0,"MIROC6","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1033.40906596534,10.9197600197432,0,0,0,"MIROC6","r2i1p1f1","ssp245","Hist(1992-2021)",2006
1057.20472103093,10.8079045357487,0,0,0,"MIROC6","r2i1p1f1","ssp370","Hist(1992-2021)",2006
1018.19940035158,10.8928144633153,0,0,0,"MIROC6","r2i1p1f1","ssp585","Hist(1992-2021)",2006
1073.13645272115,11.0504527320093,0,0,0,"MIROC6","r3i1p1f1","ssp245","Hist(1992-2021)",2006
1030.17451687179,10.974387207215,0,0,0,"MIROC6","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1098.42608425346,10.8281164425799,0,0,0,"MIROC6","r3i1p1f1","ssp585","Hist(1992-2021)",2006
1005.61633332728,10.9266771312824,0,0,0,"MIROC6","r4i1p1f1","ssp585","Hist(1992-2021)",2006
1143.89904595423,10.7166558302983,0,0,0,"MIROC6","r5i1p1f1","ssp585","Hist(1992-2021)",2006
1056.20030099341,10.8187722002888,0,0,0,"MPI-ESM1-2-HR","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1026.85287998888,10.8145083658071,0,0,0,"MPI-ESM1-2-HR","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1052.61551415942,10.8480377233382,0,0,0,"MPI-ESM1-2-HR","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1070.46455204183,10.9143877914261,0,0,0,"MPI-ESM1-2-HR","r2i1p1f1","ssp245","Hist(1992-2021)",2006
1107.10465522683,10.9477797615866,0,0,0,"MPI-ESM1-2-HR","r2i1p1f1","ssp370","Hist(1992-2021)",2006
1051.03533312949,10.8208419769202,0,0,0,"MPI-ESM1-2-HR","r2i1p1f1","ssp585","Hist(1992-2021)",2006
1072.65624322829,10.8167058995366,0,0,0,"MPI-ESM1-2-HR","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1120.4432669502,10.7602530840919,0,0,0,"MPI-ESM1-2-HR","r10i1p1f1","ssp370","Hist(1992-2021)",2006
1148.87854650824,10.5619477175447,0,0,0,"MPI-ESM1-2-HR","r4i1p1f1","ssp370","Hist(1992-2021)",2006
1116.82605517519,10.6081940346939,0,0,0,"MPI-ESM1-2-HR","r5i1p1f1","ssp370","Hist(1992-2021)",2006
1017.7733695093,11.0820484416225,0,0,0,"MPI-ESM1-2-HR","r6i1p1f1","ssp370","Hist(1992-2021)",2006
