variant,period,r
lm-novaravg,2080,-0.06419591249863368
lm-novaravg,2081,-0.0666233960407958
lm-novaravg,2082,-0.06545447881139871
lm-novaravg,2083,-0.06581641928747753
lm-novaravg,2084,-0.06178108525149349
lm-novaravg,2085,-0.05579330819734819
lm-varavg,2007,0.5547152343979352
lm-varavg,2008,0.4775152872932059
lm-varavg,2009,0.4704189582217891
lm-varavg,2010,0.5147114286834196
lm-varavg,2011,0.5686669397435192
lm-varavg,2012,0.5404555423048696
lm-varavg,2013,0.5231032184353753
lm-varavg,2014,0.5364923841314737
lm-varavg,2015,0.5194721054269416
lm-varavg,2016,0.5027811917824183
lm-varavg,2017,0.47644722368440456
lm-varavg,2018,0.4811566003166586
lm-varavg,2019,0.46474703109211485
lm-varavg,2020,0.45428515852540347
lm-varavg,2021,0.46507228886392
lm-varavg,2022,0.4664081396887384
lm-varavg,2023,0.448794404446275
lm-varavg,2024,0.42669215180883757
lm-varavg,2025,0.4146507852853705
lm-varavg,2026,0.3974739768011901
lm-varavg,2027,0.39214313721771765
lm-varavg,2028,0.39345352791096305
lm-varavg,2029,0.3860853292169492
lm-varavg,2030,0.38793610028906295
lm-varavg,2031,0.3890556549178745
lm-varavg,2032,0.3892199578144961
lm-varavg,2033,0.3738796337341808
lm-varavg,2034,0.3708799838253121
lm-varavg,2035,0.3454335917454049
lm-varavg,2036,0.3432671468175403
lm-varavg,2037,0.3365071736866732
lm-varavg,2038,0.3357462987269972
lm-varavg,2039,0.33548583112979663
lm-varavg,2040,0.33054920975448454
lm-varavg,2041,0.3198679947867101
lm-varavg,2042,0.31136524096579987
lm-varavg,2043,0.32148049164024217
lm-varavg,2044,0.2988145460000346
lm-varavg,2045,0.2995124218499441
lm-varavg,2046,0.2992299839141788
lm-varavg,2047,0.2804053729599376
lm-varavg,2048,0.2711530431463291
lm-varavg,2049,0.26825087833622663
lm-varavg,2050,0.2615945445842033
lm-varavg,2051,0.25288105182930326
lm-varavg,2052,0.2404484212642243
lm-varavg,2053,0.22596174336412636
lm-varavg,2054,0.21334007264692414
lm-varavg,2055,0.20640164193227137
lm-varavg,2056,0.19464794727860565
lm-varavg,2057,0.1752462591847878
lm-varavg,2058,0.16474336034541645
lm-varavg,2059,0.15668732812108285
lm-varavg,2060,0.1496713249381369
lm-varavg,2061,0.1373207065551878
lm-varavg,2062,0.12896806316319698
lm-varavg,2063,0.11860310755582013
lm-varavg,2064,0.11070384804791869
lm-varavg,2065,0.10535857472950134
lm-varavg,2066,0.09249520455888818
lm-varavg,2067,0.08448049747654267
lm-varavg,2068,0.07190635196692788
lm-varavg,2069,0.06437291258778023
lm-varavg,2070,0.05317530935127502
lm-varavg,2071,0.048807336303459826
lm-varavg,2072,0.04925228589619455
lm-varavg,2073,0.031550999807521324
lm-varavg,2074,0.02827603660564275
lm-varavg,2075,0.020688931045287035
lm-varavg,2076,0.012421610862618802
lm-varavg,2077,0.009275758274700282
lm-varavg,2078,0.0025989378538571733
lm-varavg,2079,-0.004887343121855488
lm-varavg,2080,-0.010161722682657625
lm-varavg,2081,-0.016840297017964977
lm-varavg,2082,-0.023408165335136445
lm-varavg,2083,-0.0276645868649445
lm-varavg,2084,-0.02920413297594101
lm-varavg,2085,-0.02845144827910811
raw-novaravg,2007,-0.33338752336392197
raw-novaravg,2008,-0.3624057255386066
raw-novaravg,2009,-0.3995403328235856
raw-novaravg,2010,-0.3652639248723796
raw-novaravg,2011,-0.3588616177788298
raw-novaravg,2012,-0.32932338625755303
raw-novaravg,2013,-0.3295463522552926
raw-novaravg,2014,-0.3171398702245719
raw-novaravg,2015,-0.3065068942256605
raw-novaravg,2016,-0.2923198188281157
raw-novaravg,2017,-0.309515274026103
raw-novaravg,2018,-0.304956534001909
raw-novaravg,2019,-0.31387610036158925
raw-novaravg,2020,-0.3301611347317696
raw-novaravg,2021,-0.23591349928749
raw-novaravg,2022,-0.260184072802834
raw-novaravg,2023,-0.2097470512643701
raw-novaravg,2024,-0.2141018009798565
raw-novaravg,2025,-0.20174894825052692
raw-novaravg,2026,-0.20561541179842158
raw-novaravg,2027,-0.1864477140542895
raw-novaravg,2028,-0.1505736858579473
raw-novaravg,2029,-0.14338687402359007
raw-novaravg,2030,-0.1887442707464763
raw-novaravg,2031,-0.19264574400931558
raw-novaravg,2032,-0.18835299376376727
raw-novaravg,2033,-0.18546826877663966
raw-novaravg,2034,-0.17004362514226287
raw-novaravg,2035,-0.12964125193629258
raw-novaravg,2036,-0.12305722885933094
raw-novaravg,2037,-0.09020752873379673
raw-novaravg,2038,-0.09534486675483553
raw-novaravg,2039,-0.0575963683054523
raw-novaravg,2040,-0.06627754733977735
raw-novaravg,2041,-0.019987833211249875
raw-novaravg,2042,0.012833902406718821
raw-novaravg,2043,0.016460371312901945
raw-novaravg,2044,0.022866558994160412
raw-novaravg,2045,0.01128179329988969
raw-novaravg,2046,0.0041754683287925564
raw-novaravg,2047,-0.02518627180413063
raw-novaravg,2048,-0.0026191317113223008
raw-novaravg,2049,-0.001117300548890597
raw-novaravg,2050,-0.0034960760122041148
raw-novaravg,2051,-0.018825480031739734
raw-novaravg,2052,-0.02656667247702102
raw-novaravg,2053,-0.014883065974490526
raw-novaravg,2054,-0.0026492417020938202
raw-novaravg,2055,-0.03388214990504423
raw-novaravg,2056,-0.01140408201006096
raw-novaravg,2057,-0.009845412468477558
raw-novaravg,2058,-0.01692810741312814
raw-novaravg,2059,-0.009991588253449325
raw-novaravg,2060,0.026277855593588098
raw-novaravg,2061,0.00781388531786779
raw-novaravg,2062,0.008634772460639331
raw-novaravg,2063,0.02120676213385366
raw-novaravg,2064,0.005298962663968157
raw-novaravg,2065,0.004652814791235269
raw-novaravg,2066,-0.0025744319804307434
raw-novaravg,2067,-0.051948217254124705
raw-novaravg,2068,-0.06838426178630491
raw-novaravg,2069,-0.06953631014176123
raw-novaravg,2070,-0.09087790490503399
raw-novaravg,2071,-0.1213518778073431
raw-novaravg,2072,-0.14075837083877785
raw-novaravg,2073,-0.12305004610442348
raw-novaravg,2074,-0.11716158513205065
raw-novaravg,2075,-0.08563111151803196
raw-novaravg,2076,-0.05370543787789994
raw-novaravg,2077,-0.050578892782775185
raw-novaravg,2078,-0.06257511291159616
raw-novaravg,2079,-0.07066357473991212
raw-novaravg,2080,-0.07895635738793678
raw-novaravg,2081,-0.06846301935027312
raw-novaravg,2082,-0.0685074079729689
raw-novaravg,2083,-0.09419323882707188
raw-novaravg,2084,-0.06776574546409297
raw-novaravg,2085,-0.06015448990266468
raw-varavg,2007,-0.55255708981019
raw-varavg,2008,-0.5987578903980746
raw-varavg,2009,-0.6003486798486122
raw-varavg,2010,-0.5399125242458366
raw-varavg,2011,-0.6641683276215264
raw-varavg,2012,-0.5977562095678508
raw-varavg,2013,-0.548158025698351
raw-varavg,2014,-0.5956707680977148
raw-varavg,2015,-0.6123726711591244
raw-varavg,2016,-0.5690073587466762
raw-varavg,2017,-0.5285004866017132
raw-varavg,2018,-0.5804852342767672
raw-varavg,2019,-0.6605921886423384
raw-varavg,2020,-0.6449936550733576
raw-varavg,2021,-0.46737970850620353
raw-varavg,2022,-0.3087989276544759
raw-varavg,2023,-0.14082711593872352
raw-varavg,2024,-0.16623435759257812
raw-varavg,2025,-0.2107815394120556
raw-varavg,2026,-0.2502525863423004
raw-varavg,2027,-0.2505175689822998
raw-varavg,2028,-0.14539027231548804
raw-varavg,2029,-0.2114779393915438
raw-varavg,2030,-0.32681388433022057
raw-varavg,2031,-0.3201313826309167
raw-varavg,2032,-0.3229148996916739
raw-varavg,2033,-0.3719896721779012
raw-varavg,2034,-0.3210692650839219
raw-varavg,2035,-0.22127869291296057
raw-varavg,2036,-0.19638911923936725
raw-varavg,2037,-0.11025092146495594
raw-varavg,2038,-0.09948290618954998
raw-varavg,2039,0.007835545174493972
raw-varavg,2040,0.04180539628423944
raw-varavg,2041,0.10827021928946018
raw-varavg,2042,0.11173270100847707
raw-varavg,2043,0.11847209315093093
raw-varavg,2044,0.12942765073246326
raw-varavg,2045,0.08399787318470271
raw-varavg,2046,0.037995075970273295
raw-varavg,2047,-0.011060346406725518
raw-varavg,2048,0.014533527762779686
raw-varavg,2049,0.08772467203251276
raw-varavg,2050,0.07255842883130163
raw-varavg,2051,0.036196693973384216
raw-varavg,2052,0.027676329551532243
raw-varavg,2053,0.061511115286469895
raw-varavg,2054,0.07547252277881837
raw-varavg,2055,0.05749818108977477
raw-varavg,2056,0.13212228216333896
raw-varavg,2057,0.14684495700766584
raw-varavg,2058,0.13979762599206227
raw-varavg,2059,0.16892124425785088
raw-varavg,2060,0.2458494610561892
raw-varavg,2061,0.20156858898020064
raw-varavg,2062,0.21925737161484185
raw-varavg,2063,0.23721524507649594
raw-varavg,2064,0.2180302272994791
raw-varavg,2065,0.24119122477034366
raw-varavg,2066,0.20606774472313863
raw-varavg,2067,0.10489431612302004
raw-varavg,2068,0.04703706587481258
raw-varavg,2069,0.05554329444173914
raw-varavg,2070,0.0026763926220433995
raw-varavg,2071,-0.06140839148484389
raw-varavg,2072,-0.09679239316838786
raw-varavg,2073,-0.0921735513561649
raw-varavg,2074,-0.08602825836005697
raw-varavg,2075,-0.04370781541696471
raw-varavg,2076,0.006054274445722001
raw-varavg,2077,0.002228677562265633
raw-varavg,2078,-0.01843850839115563
raw-varavg,2079,-0.048434659453523654
raw-varavg,2080,-0.037453126201351876
raw-varavg,2081,-0.012241113484237405
raw-varavg,2082,-0.02160553984710417
raw-varavg,2083,-0.05005862999386414
raw-varavg,2084,-0.014385983343983944
raw-varavg,2085,-0.006383111845050994
