mvs,m,v,s,slope,intercept,pr_change_2043,pr_change_2070,pr_change_2050,base,2043,2050,2070
IPSL-CM6A-LR_r4i1p1f1_ssp585,IPSL-CM6A-LR,r4i1p1f1,ssp585,0.5392320868510861,16.537332233625875,1.8,3.1,2.1,1090.6876492409895,1110.1000043676286,1113.8746289755861,1124.6592707126078
KACE-1-0-G_r1i1p1f1_ssp245,KACE-1-0-G,r1i1p1f1,ssp245,0.7259801565176324,-345.08010122253427,2.4,4.2,2.8,1101.0723705605894,1127.2076561952242,1132.2895172908477,1146.8091204212003
KACE-1-0-G_r2i1p1f1_ssp245,KACE-1-0-G,r2i1p1f1,ssp245,-0.8709343465483075,2873.0205496668596,-2.8,-4.8,-3.3,1138.119331342631,1106.765694866892,1100.669154441054,1083.2504675100877
KACE-1-0-G_r3i1p1f1_ssp245,KACE-1-0-G,r3i1p1f1,ssp245,0.7426063473855852,-364.200146423796,2.4,4.2,2.9,1115.0716975682897,1141.8055260741708,1147.0037705058699,1161.8558974535815
KACE-1-0-G_r1i1p1f1_ssp370,KACE-1-0-G,r1i1p1f1,ssp370,-0.28010685382794925,1624.4942415408227,-0.9,-1.7,-1.1,1066.5213887155478,1056.4375419777416,1054.476794000946,1048.874656924387
KACE-1-0-G_r2i1p1f1_ssp370,KACE-1-0-G,r2i1p1f1,ssp370,-1.2123341090026343,3582.41713780026,-3.7,-6.5,-4.5,1167.447592667013,1123.8035647429178,1115.3172259798994,1091.0705437998467
KACE-1-0-G_r3i1p1f1_ssp370,KACE-1-0-G,r3i1p1f1,ssp370,1.8824089849245649,-2714.404380028561,6.5,11.5,7.8,1035.3543179411722,1103.1210413984568,1116.2979042929287,1153.94608399142
KACE-1-0-G_r1i1p1f1_ssp585,KACE-1-0-G,r1i1p1f1,ssp585,1.6150644860504577,-2180.2777527159506,5.6,9.8,6.7,1036.9307034965614,1095.0730249943776,1106.378476396731,1138.6797661177402
KACE-1-0-G_r2i1p1f1_ssp585,KACE-1-0-G,r2i1p1f1,ssp585,-0.7781864663414857,2654.650033956094,-2.5,-4.4,-3.0,1104.5025930038544,1076.4878802155608,1071.0405749511706,1055.4768456243407
KACE-1-0-G_r3i1p1f1_ssp585,KACE-1-0-G,r3i1p1f1,ssp585,0.6482559290544322,-215.4299477489642,2.2,3.8,2.6,1075.8958629274648,1099.2330763734242,1103.7708678768054,1116.735986457894
