period,mvs,window,n_windows,min_window_avg_pr
historical,FGOALS-g3_r4i1p1f1_ssp245,10,56,892.8110689861605
historical,FGOALS-g3_r4i1p1f1_ssp245,15,51,945.3393067509086
historical,FGOALS-g3_r4i1p1f1_ssp245,20,46,970.0695497397489
historical,FGOALS-g3_r5i1p1f1_ssp370,2,64,679.7802086959182
historical,FGOALS-g3_r5i1p1f1_ssp370,5,61,803.5269684421801
historical,FGOALS-g3_r5i1p1f1_ssp370,10,56,850.7714755112669
historical,FGOALS-g3_r5i1p1f1_ssp370,15,51,933.7424776682693
historical,FGOALS-g3_r5i1p1f1_ssp370,20,46,922.1695500693095
historical,GFDL-ESM4_r1i1p1f1_ssp245,2,64,712.013039978332
historical,GFDL-ESM4_r1i1p1f1_ssp245,5,61,841.7076199977377
historical,GFDL-ESM4_r1i1p1f1_ssp245,10,56,928.397688872429
historical,GFDL-ESM4_r1i1p1f1_ssp245,15,51,971.1469683797096
historical,GFDL-ESM4_r1i1p1f1_ssp245,20,46,963.6695371645699
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,2,64,657.2282277956183
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,5,61,679.3568762367643
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,10,56,852.93954091877
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,15,51,903.852361061555
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,20,46,938.9353051974182
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,2,64,639.0391626362034
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,5,61,733.4545351196678
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,10,56,836.2104957896911
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,15,51,905.6165360067292
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,20,46,954.5605187105081
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,2,64,503.4209238746189
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,5,61,778.0104634469011
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,10,56,859.6236926171302
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,15,51,926.8655311003852
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,20,46,931.8296578684476
historical,INM-CM5-0_r1i1p1f1_ssp245,2,64,783.4961833605848
historical,INM-CM5-0_r1i1p1f1_ssp245,5,61,893.6921598086523
historical,INM-CM5-0_r1i1p1f1_ssp245,10,56,994.5433630104678
historical,INM-CM5-0_r1i1p1f1_ssp245,15,51,1009.5024722808276
historical,INM-CM5-0_r1i1p1f1_ssp245,20,46,1011.1196584718749
historical,INM-CM5-0_r2i1p1f1_ssp370,2,64,659.9433710715057
historical,INM-CM5-0_r2i1p1f1_ssp370,5,61,816.651696435803
historical,INM-CM5-0_r2i1p1f1_ssp370,10,56,869.8822662418658
historical,INM-CM5-0_r2i1p1f1_ssp370,15,51,924.2886642733555
historical,INM-CM5-0_r2i1p1f1_ssp370,20,46,938.5520911590553
historical,INM-CM5-0_r3i1p1f1_ssp370,2,64,660.8067515724315
historical,INM-CM5-0_r3i1p1f1_ssp370,5,61,744.8558998697929
historical,INM-CM5-0_r3i1p1f1_ssp370,10,56,895.3048095226688
historical,INM-CM5-0_r3i1p1f1_ssp370,15,51,914.3128051825191
historical,INM-CM5-0_r3i1p1f1_ssp370,20,46,942.5971334342061
historical,INM-CM5-0_r4i1p1f1_ssp370,2,64,657.7974562426209
historical,INM-CM5-0_r4i1p1f1_ssp370,5,61,743.0988774490676
historical,INM-CM5-0_r4i1p1f1_ssp370,10,56,894.0711319089812
historical,INM-CM5-0_r4i1p1f1_ssp370,15,51,913.6428298471621
historical,INM-CM5-0_r4i1p1f1_ssp370,20,46,942.4270921675949
historical,INM-CM5-0_r5i1p1f1_ssp370,2,64,564.5757904159327
historical,INM-CM5-0_r5i1p1f1_ssp370,5,61,888.4513397008938
historical,INM-CM5-0_r5i1p1f1_ssp370,10,56,950.4256682769995
historical,INM-CM5-0_r5i1p1f1_ssp370,15,51,980.1949698030631
historical,INM-CM5-0_r5i1p1f1_ssp370,20,46,979.4717620472651
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,2,64,718.2370676592564
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,5,61,818.1170801906126
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,10,56,889.3019353265933
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,15,51,951.2918856960915
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,20,46,962.0147555861004
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,2,64,672.2125114262235
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,5,61,826.9531796477868
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,10,56,907.1135601730236
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,15,51,974.9555568497798
