mvs,m,v,s,slope,intercept,r2,pvalue,slope95,intercept95,base,2043,2050,2070,pr_change_2043,pr_change_2070,pr_change_2050
MIROC6_r1i1p1f1_ssp245,MIROC6,r1i1p1f1,ssp245,-1.2126912857274836,3550.836399442559,-0.6972220415958784,2.2808652481236826e-14,0.2641377596114726,542.9785275322091,1098.7746197015872,1055.1177334153977,1046.6288944153052,1022.3750687007555,-4.0,-7.0,-4.7
MIROC6_r2i1p1f1_ssp245,MIROC6,r2i1p1f1,ssp245,0.4380495191002807,157.04263575091795,0.37394160214253247,0.00028278604533916475,0.23016053834969186,473.13277129692193,1042.7787633716857,1058.5485460592956,1061.6148926929977,1070.3758830750032,1.5,2.6,1.8
MIROC6_r3i1p1f1_ssp245,MIROC6,r3i1p1f1,ssp245,0.33415061450556804,379.99668232095996,0.29142958412336567,0.005322091390813202,0.23235679772227902,477.64754299014857,1055.6492248512186,1067.6786469734188,1070.017701274958,1076.7007135650692,1.1,2.0,1.4
MIROC6_r1i1p1f1_ssp370,MIROC6,r1i1p1f1,ssp370,-0.3148362222427813,1693.3116717029543,-0.27986572277953525,0.007550493981249652,0.22879356700954998,470.3227372959493,1056.7128303280506,1045.3787263273102,1043.1748727716108,1036.8781483267553,-1.1,-1.9,-1.3
MIROC6_r2i1p1f1_ssp370,MIROC6,r2i1p1f1,ssp370,-0.745662125025081,2571.7975222654986,-0.5579172134790199,1.111487727012222e-08,0.23497204424394827,483.0236115520931,1064.068705464785,1037.2248689638818,1032.0052340887064,1017.0919915882048,-2.5,-4.4,-3.0
MIROC6_r3i1p1f1_ssp370,MIROC6,r3i1p1f1,ssp370,0.8462711730565773,-706.1326404350414,0.4522811695310597,7.633428693227816e-06,0.3535290545300703,726.7370093202456,1005.0276714853578,1035.4934337153948,1041.4173319267907,1058.3427553879224,3.0,5.3,3.6
MIROC6_r1i1p1f1_ssp585,MIROC6,r1i1p1f1,ssp585,-0.5082416127530522,2088.356670053651,-0.3183002922419567,0.0022327508600780695,0.32066886358234337,659.1874922747887,1060.6921290669795,1042.3954310078698,1038.8377397185984,1028.6729074635373,-1.7,-3.0,-2.1
MIROC6_r2i1p1f1_ssp585,MIROC6,r2i1p1f1,ssp585,1.4124813973274217,-1852.3185327333633,0.7310949260924746,2.8109825156995655e-16,0.27924717523879045,574.0384118185783,1003.7188526626835,1054.5681829664707,1064.4555527477626,1092.7051806943111,5.1,8.9,6.1
MIROC6_r3i1p1f1_ssp585,MIROC6,r3i1p1f1,ssp585,-0.1756113732413289,1437.9946169840541,-0.10610804133787083,0.3195555772790625,0.3486306074855176,716.6674472577901,1082.9084202900872,1076.5864108533992,1075.35713124071,1071.8449037758833,-0.6,-1.0,-0.7
MIROC6_r4i1p1f1_ssp585,MIROC6,r4i1p1f1,ssp585,0.45138105180451743,103.57662792405802,0.45662937438953827,6.0779915988578134e-06,0.18630391032489352,382.9782725896553,1016.2691146727923,1032.5188325377549,1035.6784999003867,1044.706120936477,1.6,2.8,1.9
