period,mvs,window,n_windows,min_window_avg_pr
historical,CNRM-ESM2-1_r1i1p1f2_ssp370,5,61,961.6029636999286
historical,CNRM-ESM2-1_r1i1p1f2_ssp370,10,56,1005.0366024687333
historical,CNRM-ESM2-1_r1i1p1f2_ssp370,15,51,1024.8818888010646
historical,CNRM-ESM2-1_r1i1p1f2_ssp370,20,46,1061.995920835916
historical,CNRM-ESM2-1_r1i1p1f2_ssp585,2,64,676.9758471877503
historical,CNRM-ESM2-1_r1i1p1f2_ssp585,5,61,961.6029636999286
historical,CNRM-ESM2-1_r1i1p1f2_ssp585,10,56,1005.0366024687333
historical,CNRM-ESM2-1_r1i1p1f2_ssp585,15,51,1024.8818888010646
historical,CNRM-ESM2-1_r1i1p1f2_ssp585,20,46,1061.995920835916
historical,EC-Earth3-Veg_r1i1p1f1_ssp245,2,64,693.9829600996054
historical,EC-Earth3-Veg_r1i1p1f1_ssp245,5,61,796.0681235807657
historical,EC-Earth3-Veg_r1i1p1f1_ssp245,10,56,935.3644554650839
historical,EC-Earth3-Veg_r1i1p1f1_ssp245,15,51,1000.6159251564319
historical,EC-Earth3-Veg_r1i1p1f1_ssp245,20,46,1007.1437727872617
historical,EC-Earth3-Veg_r1i1p1f1_ssp370,2,64,693.9829600996054
historical,EC-Earth3-Veg_r1i1p1f1_ssp370,5,61,796.0681235807657
historical,EC-Earth3-Veg_r1i1p1f1_ssp370,10,56,935.3644554650839
historical,EC-Earth3-Veg_r1i1p1f1_ssp370,15,51,1000.6159251564319
historical,EC-Earth3-Veg_r1i1p1f1_ssp370,20,46,1007.1437727872617
historical,EC-Earth3-Veg_r1i1p1f1_ssp585,2,64,693.9829600996054
historical,EC-Earth3-Veg_r1i1p1f1_ssp585,5,61,796.0681235807657
historical,EC-Earth3-Veg_r1i1p1f1_ssp585,10,56,935.3644554650839
historical,EC-Earth3-Veg_r1i1p1f1_ssp585,15,51,1000.6159251564319
historical,EC-Earth3-Veg_r1i1p1f1_ssp585,20,46,1007.1437727872617
historical,EC-Earth3-Veg_r2i1p1f1_ssp245,2,64,778.2532896605053
historical,EC-Earth3-Veg_r2i1p1f1_ssp245,5,61,881.5725107114224
historical,EC-Earth3-Veg_r2i1p1f1_ssp245,10,56,978.034045518875
historical,EC-Earth3-Veg_r2i1p1f1_ssp245,15,51,1043.5826907497112
historical,EC-Earth3-Veg_r2i1p1f1_ssp245,20,46,1079.8468564159798
historical,EC-Earth3-Veg_r2i1p1f1_ssp370,2,64,778.2532896605053
historical,EC-Earth3-Veg_r2i1p1f1_ssp370,5,61,881.5725107114224
historical,EC-Earth3-Veg_r2i1p1f1_ssp370,10,56,978.034045518875
historical,EC-Earth3-Veg_r2i1p1f1_ssp370,15,51,1043.5826907497112
historical,EC-Earth3-Veg_r2i1p1f1_ssp370,20,46,1079.8468564159798
historical,EC-Earth3-Veg_r2i1p1f1_ssp585,2,64,778.2532896605053
historical,EC-Earth3-Veg_r2i1p1f1_ssp585,5,61,881.5725107114224
historical,EC-Earth3-Veg_r2i1p1f1_ssp585,10,56,978.034045518875
historical,EC-Earth3-Veg_r2i1p1f1_ssp585,15,51,1043.5826907497112
historical,EC-Earth3-Veg_r2i1p1f1_ssp585,20,46,1079.8468564159798
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,2,64,711.1275026188378
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,5,61,930.2252098719189
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,10,56,1052.565266537141
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,15,51,1088.7515604178293
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,20,46,1102.6376139683916
historical,EC-Earth3-Veg_r3i1p1f1_ssp370,2,64,711.1275026188378
historical,EC-Earth3-Veg_r3i1p1f1_ssp370,5,61,930.2252098719189
historical,EC-Earth3-Veg_r3i1p1f1_ssp370,10,56,1052.565266537141
historical,EC-Earth3-Veg_r3i1p1f1_ssp370,15,51,1088.7515604178293
historical,EC-Earth3-Veg_r3i1p1f1_ssp370,20,46,1102.6376139683916
historical,EC-Earth3-Veg_r3i1p1f1_ssp585,2,64,711.1275026188378
historical,EC-Earth3-Veg_r3i1p1f1_ssp585,5,61,930.2252098719189
historical,EC-Earth3-Veg_r3i1p1f1_ssp585,10,56,1052.565266537141
historical,EC-Earth3-Veg_r3i1p1f1_ssp585,15,51,1088.7515604178293
historical,EC-Earth3-Veg_r3i1p1f1_ssp585,20,46,1102.6376139683916
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,2,64,654.0157754333413
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,5,61,897.5326505264632
