"Model","SSP","Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Variant","Year","period","model_ssp"
"KACE-1-0-G","ssp370",1055.08327026137,11.3156350690595,-0.41250931890055,0.0344697242592622,0.140163510401152,NA,"Fut(1994-2023)",2008,NA
"KACE-1-0-G","ssp585",1058.60047150939,11.2796631085063,-1.87001285478828,0.0970341111609978,0.126414683312241,NA,"Fut(1994-2023)",2008,NA
"MIROC6","ssp245",1044.81031639332,11.0329256749395,-1.1052653224323,-0.150938907728919,0.108437071103369,NA,"Fut(1994-2023)",2008,NA
"MIROC6","ssp370",1037.35768270297,10.9404700280166,-0.953889606944562,-0.0864606502035346,0.0793126961603203,NA,"Fut(1994-2023)",2008,NA
"MIROC6","ssp585",1052.59464067025,10.9513644014566,-0.532822306795621,-0.150997148949101,0.102671440643874,NA,"Fut(1994-2023)",2008,NA
"MPI-ESM1-2-HR","ssp245",1071.90096397566,10.9205312700855,0.805819256927822,-0.129195826210824,0.0539512742280337,NA,"Fut(1994-2023)",2008,NA
"MPI-ESM1-2-HR","ssp370",1066.78857327571,10.8585038054871,-0.0441837947079191,-0.0882641751430661,0.0534659812448588,NA,"Fut(1994-2023)",2008,NA
"MPI-ESM1-2-HR","ssp585",1058.6167654049,10.8680393015432,0.645671953518297,-0.27443067678638,0.0335994514140019,NA,"Fut(1994-2023)",2008,NA
"MRI-ESM2-0","ssp370",1045.3642744724,11.0388081347922,0.229180572235772,0.149547140076863,0.093478155593937,NA,"Fut(1994-2023)",2008,NA
"ACCESS-CM2","ssp245",1003.616781049,11.1781501134231,-3.9615009951407,0.52612463840257,0.199098970272873,NA,"Fut(1995-2024)",2009,NA
"ACCESS-CM2","ssp370",1034.52283881978,11.1684204363585,-3.51446043131831,0.353373321649803,0.199853888601883,NA,"Fut(1995-2024)",2009,NA
"ACCESS-CM2","ssp585",1022.70897956244,11.2835000018602,-2.14418458546835,0.299622242535639,0.247897808730048,NA,"Fut(1995-2024)",2009,NA
"CESM2-LENS","ssp370",1054.14961460929,11.1283270128275,0.423892606919963,0.201887539781215,0.134949330632068,NA,"Fut(1995-2024)",2009,NA
"EC-EARTH3","ssp245",1074.09888124638,10.9720330201925,-1.33163769197693,0.10254181943679,0.158962121245665,NA,"Fut(1995-2024)",2009,NA
"EC-EARTH3","ssp370",1032.59618192478,11.0285267388926,-2.42902931784159,-0.16337109068505,0.20720406842733,NA,"Fut(1995-2024)",2009,NA
"EC-EARTH3","ssp585",1103.28094757922,10.8872720165358,-1.11987389310788,-0.301863950587455,0.137182068563092,NA,"Fut(1995-2024)",2009,NA
"EC-EARTH3-VEG","ssp245",1081.92233846824,11.2787381251343,0.796855232142666,-0.0178062491320259,0.172342816523173,NA,"Fut(1995-2024)",2009,NA
"EC-EARTH3-VEG","ssp370",1093.2477545067,11.1274035647727,1.3369935311756,0.0308523090632686,0.139936832132129,NA,"Fut(1995-2024)",2009,NA
"EC-EARTH3-VEG","ssp585",1090.40000275831,11.2329841993597,2.34476668423682,0.0212672424870722,0.175900041504185,NA,"Fut(1995-2024)",2009,NA
"FGOALS-G3","ssp245",1080.09965814232,11.0012597352944,-1.06249808700922,-0.0725377335935159,0.185830611085509,NA,"Fut(1995-2024)",2009,NA
"FGOALS-G3","ssp370",1022.75046352692,11.077929796441,0.0979928436342102,0.403624622150428,0.154719660424561,NA,"Fut(1995-2024)",2009,NA
"FGOALS-G3","ssp585",1059.16268425428,11.0896108527893,-2.69480210369674,0.693506431697376,0.17522447842037,NA,"Fut(1995-2024)",2009,NA
"INM-CM5-0","ssp370",1061.32089780817,10.8784280699212,0.0601132421311765,-0.103028059785792,0.115618118239546,NA,"Fut(1995-2024)",2009,NA
"IPSL-CM6A-LR","ssp245",1064.91317517505,11.1065893138365,-0.345314886797305,-0.0120961688468956,0.107980734036854,NA,"Fut(1995-2024)",2009,NA
"IPSL-CM6A-LR","ssp370",1055.57885816789,11.1056081041381,-0.717347965716253,0.0334139580153669,0.118055795490712,NA,"Fut(1995-2024)",2009,NA
"IPSL-CM6A-LR","ssp585",1062.89317104331,11.115899055602,-0.64533392149523,-0.153639108100208,0.143207368037027,NA,"Fut(1995-2024)",2009,NA
"KACE-1-0-G","ssp245",1060.96880535647,11.3636270824972,-0.434865104847823,0.0560071099441443,0.179804042096494,NA,"Fut(1995-2024)",2009,NA
"KACE-1-0-G","ssp370",1052.32342592598,11.3945869998882,-0.673006267130551,0.0517045863888788,0.219115441229825,NA,"Fut(1995-2024)",2009,NA
"KACE-1-0-G","ssp585",1039.57423336655,11.3468935995395,-3.63370421392471,0.145551166741507,0.193645174345404,NA,"Fut(1995-2024)",2009,NA
"MIROC6","ssp245",1043.44462552837,11.1012371711999,-1.23453245697506,-0.226408361593365,0.176748567363811,NA,"Fut(1995-2024)",2009,NA
"MIROC6","ssp370",1040.88549478233,11.0087137345159,-0.617056834137131,-0.129690975305301,0.147556402659626,NA,"Fut(1995-2024)",2009,NA
"MIROC6","ssp585",1048.63941772263,11.0086466340848,-0.906579543007128,-0.22649572342366,0.159953673272094,NA,"Fut(1995-2024)",2009,NA
"MPI-ESM1-2-HR","ssp245",1084.31262149884,10.9489755089088,1.97306077177812,-0.193793739316231,0.0823955130513312,NA,"Fut(1995-2024)",2009,NA
"MPI-ESM1-2-HR","ssp370",1064.21938714489,10.8807079126543,-0.284911060749788,-0.132396262714601,0.0756700884120409,NA,"Fut(1995-2024)",2009,NA
"MPI-ESM1-2-HR","ssp585",1065.93197825459,10.8996314151376,1.34114980423778,-0.41164601517959,0.0651915650083303,NA,"Fut(1995-2024)",2009,NA
"MRI-ESM2-0","ssp370",1049.62142677427,11.0634268387651,0.63735492562421,0.224320710115286,0.118096859566908,NA,"Fut(1995-2024)",2009,NA
"ACCESS-CM2","ssp245",1006.14483718034,11.2457724120117,-3.71958523522294,0.701499517870078,0.266721268861545,NA,"Fut(1996-2025)",2010,NA
